time,frequency_mhz,width_khz,peak,diff
20170321_161513,101.692001,68.000000,-29.303976,9.209684
20170321_163614,100.186996,0.000000,-22.820698,5.459902
20170321_163614,100.409500,17.000000,-16.574409,14.434353
20170321_163614,100.537498,13.000000,-23.634253,6.492527
20170321_163614,100.622002,0.000000,-19.838844,6.849361
20170321_163614,100.737000,54.000000,-21.380083,5.999699
20170321_163614,100.807503,15.000000,-21.944139,5.369938
20170321_163614,100.872002,16.000000,-21.706766,7.637056
20170321_163614,101.125000,34.000000,-26.713655,5.646219
20170321_163614,101.500504,39.000000,-25.788919,5.794180
