time,frequency_mhz,width_khz,peak,diff
20170311_004258,100.692001,26.000000,-36.464676,8.468628
20170311_041846,100.691498,27.000000,-21.625048,17.031439
20170311_041937,100.691498,29.000000,-22.933723,16.209450
20170311_042021,100.691002,28.000000,-20.791447,17.449669
20170311_051253,100.690002,26.000000,-22.846676,16.296776
20170311_052547,100.689499,27.000000,-22.473604,16.196367
20170311_052734,100.690002,30.000000,-26.002586,13.977459
20170311_052820,100.690002,28.000000,-23.408535,15.773190
20170311_052903,100.690002,24.000000,-22.215797,16.400757
20170311_052952,100.690498,27.000000,-24.291157,15.663017
20170311_053039,100.690498,29.000000,-27.844273,13.092911
20170311_053241,100.690002,26.000000,-25.310844,15.412014
20170311_053426,100.690498,27.000000,-22.247210,16.590078
20170311_053502,100.690002,30.000000,-25.382832,14.466118
20170311_053553,100.690498,29.000000,-21.780130,16.692640
20170311_055249,100.690002,30.000000,-25.361822,14.890924
20170311_055342,100.689499,29.000000,-22.719423,15.852247
20170311_055403,100.690002,26.000000,-24.782654,15.660912
20170311_055453,100.689003,30.000000,-24.017387,15.273640
20170311_061407,100.688004,62.000000,-22.166920,16.808842
20170311_061528,100.687500,95.000000,-29.342249,11.612169
20170311_061620,90.990997,82.000000,-35.514946,7.288128
20170311_061623,91.487999,120.000000,-39.557007,4.007854
20170311_061627,94.656502,151.000000,-41.266724,3.474888
20170311_061628,94.198502,1099.000000,-40.869976,3.086086
20170311_061628,95.133003,348.000000,-41.438915,3.439438
20170311_061629,94.742500,1125.000000,-41.389877,3.129395
20170311_061629,95.786499,71.000000,-35.256157,7.164757
20170311_061630,94.910500,363.000000,-41.213310,3.388958
20170311_061630,95.283501,1327.000000,-41.380196,3.268299
20170311_061631,95.662498,1043.000000,-41.308502,3.139980
20170311_061639,100.690498,39.000000,-29.371555,11.811192
20170311_061640,101.186501,93.000000,-39.771046,4.788109
20170311_061645,103.376503,65.000000,-37.006157,6.467720
20170311_061647,103.775002,1282.000000,-42.131207,3.232327
20170311_061648,103.890503,385.000000,-41.607361,3.316582
20170311_061650,105.247002,1228.000000,-40.971664,4.513401
20170311_062423,89.610497,31.000000,-36.558575,6.084370
20170311_062424,90.990501,59.000000,-36.922497,6.911617
20170311_062425,91.489998,54.000000,-41.606915,3.581539
20170311_062430,93.897499,59.000000,-41.914272,3.146111
20170311_062431,94.659500,33.000000,-41.682171,3.355869
20170311_062432,95.030502,33.000000,-41.867046,3.311726
20170311_062433,95.786003,54.000000,-36.016994,6.430309
20170311_062434,95.402496,27.000000,-41.813663,3.134632
20170311_062443,100.688499,29.000000,-29.249634,12.145611
20170311_062444,101.190498,51.000000,-40.820194,4.393074
20170311_062449,103.387001,26.000000,-34.114906,10.009148
20170311_062450,103.883499,49.000000,-43.361443,3.135235
20170311_062453,105.596001,84.000000,-40.929573,4.191921
